date,place,company_name,budget,status,result,space_flight_name
"Sun Oct 08, 1995 18:50 UTC"," Baikonur Cosmodrome, Kazakhstan",Roscosmos,Price: $20.0 million,Status: Retired,Success,Soyuz U | Progress M-29
"Fri Oct 06, 1995 03:23 UTC"," Plesetsk Cosmodrome, Russia",VKS RF,Price: $0.0 million,Status: Retired,Partial Failure,Cosmos-3M | Cosmos 2321
"Fri Sep 29, 1995 04:24 UTC"," Baikonur Cosmodrome, Kazakhstan",VKS RF,Price: $20.0 million,Status: Retired,Success,Soyuz U | Cosmos 2320
"Tue Sep 26, 1995 11:20 UTC"," Plesetsk Cosmodrome, Russia",VKS RF,Price: $20.0 million,Status: Retired,Success,Soyuz U | Resurs-F
"Sun Sep 24, 1995 00:06 UTC"," Guiana Space Centre, French Guiana, France",Arianespace,Price: $0.0 million,Status: Retired,Success,Ariane 42L | Telstar 402R
"Thu Sep 07, 1995 15:09 UTC"," Kennedy Space Center, Florida, USA",NASA,Price: $450.0 million,Status: Retired,Success,Space Shuttle Endeavour | STS-69
"Sun Sep 03, 1995 09:00 UTC"," Baikonur Cosmodrome, Kazakhstan",Roscosmos,Price: $40.0 million,Status: Retired,Success,Soyuz U2 | Soyuz TM-22
"Thu Aug 31, 1995 06:49 UTC"," Plesetsk Cosmodrome, Russia",VKS RF,Price: $0.0 million,Status: Retired,Success,Tsyklon-3 | Sich 1 & FASat Alfa
"Wed Aug 30, 1995 19:32 UTC"," Baikonur Cosmodrome, Kazakhstan",Roscosmos,Price: $0.0 million,Status: Retired,Success,Proton K/Block-DM-2 | Cosmos 2319
"Tue Aug 29, 1995 06:41 UTC"," Guiana Space Centre, French Guiana, France",Arianespace,Price: $0.0 million,Status: Retired,Success,Ariane 44P | N-Star A
"Tue Aug 29, 1995 00:53 UTC"," Cape Canaveral SFS, Florida, USA",ILS,Price: $0.0 million,Status: Retired,Success,Atlas IIAS | JCSAT-3
"Tue Aug 15, 1995 22:30 UTC"," Vandenberg SFB, California, USA",Lockheed,Price: $0.0 million,Status: Retired,Failure,Athena I | GemStar 1
"Wed Aug 09, 1995 02:21 UTC"," Plesetsk Cosmodrome, Russia",VKS RF,Price: $0.0 million,Status: Retired,Success,Molniya-M /Block ML | Molniya-3 n°163
"Sat Aug 05, 1995 11:10 UTC"," Cape Canaveral SFS, Florida, USA",Boeing,Price: $0.0 million,Status: Retired,Partial Failure,Delta II 7925 | Koreasat 1
"Thu Aug 03, 1995 22:58 UTC"," Guiana Space Centre, French Guiana, France",Arianespace,Price: $0.0 million,Status: Retired,Success,Ariane 42L | Panamsat-4
"Wed Aug 02, 1995 23:59 UTC"," Plesetsk Cosmodrome, Russia",VKS RF,Price: $0.0 million,Status: Retired,Success,Molniya-M /Block SO-L | Interbol 1 & Magion 4
"Mon Jul 31, 1995 23:30 UTC"," Cape Canaveral SFS, Florida, USA",Lockheed,Price: $0.0 million,Status: Retired,Success,Atlas IIA | USA-113 (DSCS IIIB-7)
"Mon Jul 24, 1995 15:52 UTC"," Baikonur Cosmodrome, Kazakhstan",Roscosmos,Price: $0.0 million,Status: Retired,Success,"Proton K/Block-DM-2 | Cosmos 2316, 2317 & 2318"
"Thu Jul 20, 1995 03:04 UTC"," Baikonur Cosmodrome, Kazakhstan",Roscosmos,Price: $20.0 million,Status: Retired,Success,Soyuz U | Progress M-28
"Thu Jul 13, 1995 13:41 UTC"," Kennedy Space Center, Florida, USA",NASA,Price: $450.0 million,Status: Retired,Success,Space Shuttle Discovery | STS-70
"Mon Jul 10, 1995 12:38 UTC"," Cape Canaveral SFS, Florida, USA",Lockheed,Price: $0.0 million,Status: Retired,Success,Titan IV(401)A | Trumpet
"Fri Jul 07, 1995 16:23 UTC"," Guiana Space Centre, French Guiana, France",Arianespace,Price: $0.0 million,Status: Retired,Success,"Ariane 40 | Hélios 1A, Cerise, LBSAT-1"
"Wed Jul 05, 1995 03:09 UTC"," Plesetsk Cosmodrome, Russia",VKS RF,Price: $0.0 million,Status: Retired,Success,Cosmos-3M | Cosmos 2315
"Wed Jun 28, 1995 18:24 UTC"," Plesetsk Cosmodrome, Russia",VKS RF,Price: $20.0 million,Status: Retired,Success,Soyuz U | Cosmos 2314
