Date,Event leading to space exploration,Country,Researcher(s),Ref(s).,Mission success,Mission name,Mission achievements,Country/organization
19 July 1963,,,,,First reusable crewed spacecraft (suborbital).,X-15 Flight 90,,USA (NASA)
12 October 1964,,,,,First multi-person crew (3) in orbit.,Voskhod 1,,USSR
18 March 1965,,,,,First space walk/extra-vehicular activity (Alexei Leonov).,Voskhod 2,,USSR
March 1965,,,,,First crewed spacecraft to change orbit.,Gemini 3,,USA (NASA)
14 July 1965,,,,[14],First flyby of Mars (returned pictures).,Mariner 4,,USA (NASA)
14 July 1965,,,,[14],First photographs of another planet from deep space (Mars).,Mariner 4,,USA (NASA)
15 December 1965,,,,,"First orbital rendezvous (parallel flight, no docking).",Gemini 6A/Gemini 7,,USA (NASA)
3 February 1966,,,,[15],First soft landing on another world (the Moon). First photos from another world.,Luna 9,,USSR
1 March 1966,,,,,First impact into another planet (Venus).,Venera 3,,USSR
16 March 1966,,,,,First orbital docking between two spacecraft.,Gemini 8/Agena target vehicle,,USA (NASA)
3 April 1966,,,,,First artificial satellite around another world (the Moon).,Luna 10,,USSR
23 August 1966,,,,[16],First picture of Earth from another astronomical object (the Moon). First probe to map the Moon.,Lunar Orbiter 1,,USA
8 May 1967,,,,[17],First polar orbit around the Moon.,Lunar Orbiter 4,,USA
July 1967,,,,[17],First photos of the Lunar south pole.,Lunar Orbiter 4,,USA
30 October 1967,,,,,First automated (crewless) docking.,Cosmos 186/Cosmos 188,,USSR
17 November 1967,,,,[18],First liftoff from another celestial body (the Moon).,Surveyor 6,,USA
September 1968,,,,[19],First animals and plants to leave Earth orbit and travel to and around the Moon. First lunar spacecraft to be recovered successfully.,Zond 5,,USSR
7 December 1968,,,,,First orbital ultraviolet observatory.,OAO-2,,USA (NASA)
21 December 1968,,,,[20],First human excursion beyond low Earth orbit. First in-person observations of Earth from a distance. First Trans-Earth injection.,Apollo 8,,USA (NASA)
24 December 1968,,,,[20],First human flight to another celestial body (the Moon) and to enter its gravitational influence.,Apollo 8,,USA (NASA)
January 1969,,,,,First docking between two crewed spacecraft in Earth orbit. First crew exchange in space.,Soyuz 4 and Soyuz 5,,USSR
January 1969,,,,,"First spacecraft to parachute in Venus's atmosphere, lost contact before landing.",Venera 5,,USSR
23 May 1969,,,,[21],First docking of two crewed spacecraft around another celestial body. First lunar mission to include a lunar landing module.,Apollo 10,,USA (NASA)
20 July 1969,,,,[22],First human on another celestial body (the Moon). First words spoken from another world.,Apollo 11,,USA (NASA)
21 July 1969,,,,[22],First space launch from another celestial body. First sample return from another celestial body.,Apollo 11,,USA (NASA)
19 November 1969,,,,[23],First rendezvous on the surface of a celestial body. First meet up between human explorers and a robotic spacecraft in space (on the Moon).,Apollo 12/Surveyor 3,,USA (NASA)
24 September 1970,,,,,First automatic sample return from the Moon.,Luna 16,,USSR
17 November 1970,,,,,First rover on another celestial body (the Moon). First lunar rover.,Lunokhod 1,,USSR
12 December 1970,,,,,First X-ray orbital observatory.,Uhuru,,USA (NASA)
